130.191.17.61	balin.sdsu.edu
130.191.17.66	pharos2.sdsu.edu
130.191.17.74	library.sdsu.edu
130.191.17.77	pita.sdsu.edu
130.191.17.79	goprint.sdsu.edu
130.191.17.80	sting.sdsu.edu
130.191.17.84	metztli.sdsu.edu
130.191.17.87	radio-flyer.sdsu.edu
130.191.17.89	champion.sdsu.edu
130.191.17.90	pastori.sdsu.edu
130.191.17.91	vader.sdsu.edu
130.191.17.100	biblioteca.sdsu.edu
130.191.17.103	sauron.lib.sdsu.edu, sauron.sdsu.edu, sauron, nsrhost
130.191.17.104	lookingglass.sdsu.edu
130.191.17.105	fox.sdsu.edu
130.191.17.106	gimli.sdsu.edu
130.191.17.107	arwen.sdsu.edu
130.191.17.108	libarchive.sdsu.edu
130.191.17.110	pharos.sdsu.edu
130.191.17.111	illiad.sdsu.edu
130.191.17.112	hobbit.sdsu.edu
130.191.17.113	frodo.sdsu.edu
130.191.17.114	bamboo.sdsu.edu
130.191.17.115	alatar.sdsu.edu
130.191.17.117	lats.sdsu.edu
130.191.17.119	ezcheese.sdsu.edu
130.191.17.120	anduril.sdsu.edu
130.191.17.123	infoserv.sdsu.edu
130.191.17.126	snowmane.sdsu.edu
130.191.17.146	codex.sdsu.edu
130.191.17.150	elfdrums.sdsu.edu
130.191.17.152	elfwings.sdsu.edu
130.191.17.154	elendor.sdsu.edu
130.191.17.155	arnor.sdsu.edu
130.191.17.157	skater.sdsu.edu
130.191.17.158	shadowfax.sdsu.edu
130.191.17.159	rhun.sdsu.edu
130.191.17.160	patchit.lib.sdsu.edu
130.191.17.181	crwilson.sdsu.edu
130.191.17.182	pippin.sdsu.edu
130.191.17.194	xroads.sdsu.edu
130.191.17.201	palm.sdsu.edu
130.191.17.205	thorin.sdsu.edu
130.191.17.211	faramir.sdsu.edu
130.191.17.212	libint.sdsu.edu
130.191.17.214	florin.sdsu.edu
130.191.17.218	reefbreak.sdsu.edu
130.191.17.224	gus.sdsu.edu
130.191.17.228	pointbreak.sdsu.edu
130.191.17.231	elfsong.sdsu.edu
130.191.17.232	cldavis.sdsu.edu
130.191.17.254	gateway
130.191.18.35	infosource.sdsu.edu
130.191.18.72	dsshtc.sdsu.edu
130.191.18.132	htcpub.sdsu.edu
130.191.18.137	sdsweb.htcpub.sdsu.edu
130.191.18.197	edcenter-dyn-18-197.sdsu.edu
130.191.18.198	edcenter-dyn-18-198.sdsu.edu
130.191.18.199	gaia.sdsu.edu
130.191.18.201	mr-edcenter.sdsu.edu
130.191.18.202	edcenter-18-202.sdsu.edu
130.191.18.203	edcenter-18-203.sdsu.edu
130.191.18.204	edcenter-18-204.sdsu.edu
130.191.18.205	edcenter-18-205.sdsu.edu
130.191.18.206	edcenter-18-206.sdsu.edu
130.191.18.207	edcenter-18-207.sdsu.edu
130.191.18.208	edcenter-18-208.sdsu.edu
130.191.18.209	edcenter-18-209.sdsu.edu
130.191.18.210	edcenter-18-210.sdsu.edu
130.191.18.211	edcenter-18-211.sdsu.edu
130.191.18.212	edcenter-18-212.sdsu.edu
130.191.18.213	edcenter-18-213.sdsu.edu
130.191.18.214	edcenter-18-214.sdsu.edu
130.191.18.215	edcenter-18-215.sdsu.edu
130.191.18.216	edcenter-18-216.sdsu.edu
130.191.18.217	edcenter-18-217.sdsu.edu
130.191.18.218	edcenter-18-218.sdsu.edu
130.191.18.219	alecto.sdsu.edu
130.191.18.220	cronus.sdsu.edu
130.191.18.221	antaeus.sdsu.edu
130.191.18.222	edcenter-18-222.sdsu.edu
130.191.18.223	edcenter-jeff.sdsu.edu
130.191.18.224	edultra1.sdsu.edu
130.191.18.230	edcenter-dyn-18-230.sdsu.edu
130.191.18.231	edcenter-dyn-18-231.sdsu.edu
130.191.18.232	edcenter-dyn-18-232.sdsu.edu
130.191.18.233	edcenter-dyn-18-233.sdsu.edu
130.191.18.234	edcenter-dyn-18-234.sdsu.edu
130.191.18.235	edcenter-dyn-18-235.sdsu.edu
130.191.18.236	edcenter-dyn-18-236.sdsu.edu
130.191.18.237	edcenter-dyn-18-237.sdsu.edu
130.191.18.238	edcenter-dyn-18-238.sdsu.edu
130.191.18.239	edcenter-dyn-18-239.sdsu.edu
130.191.18.240	edcenter-dyn-18-240.sdsu.edu
130.191.18.241	edcenter-dyn-18-241.sdsu.edu
130.191.18.242	edcenter-dyn-18-242.sdsu.edu
130.191.18.243	edcenter-dyn-18-243.sdsu.edu
130.191.18.244	edcenter-dyn-18-244.sdsu.edu
130.191.18.245	edcenter-dyn-18-245.sdsu.edu
130.191.18.246	edcenter-dyn-18-246.sdsu.edu
130.191.18.247	edcenter-dyn-18-247.sdsu.edu
130.191.18.248	edcenter-dyn-18-248.sdsu.edu
130.191.18.249	edcenter-dyn-18-249.sdsu.edu
130.191.19.11	franklin.sdsu.edu
130.191.19.30	galadriel.sdsu.edu
